station_id,USAF,WBAN,state,latitude,longitude,avg_wind_speed_ms,ICAO,ICAO_CLEAN,has_icao,NAME,BEGIN,END
72467894033,724678,94033,CO,40.517,-106.867,1.7213260927861775,KSBS,KSBS,True,,20110214,20250825
72468094015,724680,94015,CO,38.678,-104.757,4.16765069169931,KFCS,KFCS,True,,19660915,20250825
72468903026,724689,03026,CO,39.241,-102.282,5.61237843845474,KITR,KITR,True,,20060101,20250827
72469523036,724695,23036,CO,39.717,-104.75,4.110291076825053,KBKF,KBKF,True,,19440301,20250825
72469824015,724698,24015,CO,40.174,-103.215,5.654279552499927,KAKO,KAKO,True,,19730101,20250827
72469903065,724699,03065,CO,39.9,-105.117,3.309657883552637,KBJC,KBJC,True,,20060101,20250826
72476023066,724760,23066,CO,39.134,-108.541,3.7596243539642367,KGJT,KGJT,True,,19730101,20250827
72476593013,724765,93013,CO,38.505,-107.898,3.608616144975204,KMTJ,KMTJ,True,,20060101,20250827
72476793069,724767,93069,CO,37.307,-108.626,3.280938464036367,KCEZ,KCEZ,True,,20060101,20250827
72476824051,724768,24051,CO,40.436,-104.632,3.5293673276675253,KGXY,KGXY,True,,20060101,20250826
72476994035,724769,94035,CO,40.45,-105.017,3.4326381059750477,KFNL,KFNL,True,,20060101,20250826
72565003017,725650,03017,CO,39.847,-104.656,4.664782754383487,KDEN,KDEN,True,,19940718,20250827
72570024046,725700,24046,CO,40.493,-107.524,2.714798706367708,KCAG,KCAG,True,,20060101,20250827
72571094025,725710,94025,CO,40.481,-107.218,3.479231992729101,KHDN,KHDN,True,,20050101,20250825
72571703016,725717,03016,CO,39.528,-107.72,2.8825254901961226,KRIL,KRIL,True,,20060101,20250827
72639100385,726391,00385,CO,38.783,-106.217,3.064042828567601,K7BM,K7BM,True,,20050611,20250826
72639600422,726396,00422,CO,39.05,-105.516,4.61369226242994,K4BM,K4BM,True,,20050611,20250825
74000203042,740002,03042,CO,37.5,-105.167,4.501366181410213,KVTP,KVTP,True,,20060101,20250815
74531093065,745310,93065,CO,38.967,-104.817,4.521857599810078,KAFF,KAFF,True,,19671127,20250826
99999903060,999999,03060,CO,38.544,-107.693,1.9174594877156224,,,False,,20040725,20250828
99999903061,999999,03061,CO,37.255,-108.504,1.961526398327236,,,False,,20051102,20250828
99999903063,999999,03063,CO,37.864,-103.822,2.786430935377109,,,False,,20040803,20250828
99999994074,999999,94074,CO,40.807,-104.755,3.0163820146392477,,,False,,20030706,20250828
99999994075,999999,94075,CO,40.035,-105.541,2.350618574664576,,,False,,20030927,20250828
99999994082,999999,94082,CO,40.245,-108.968,2.267125435540072,,,False,,20040721,20250828
A0000594076,A00005,94076,CO,40.054,-106.369,2.070492098780089,K20V,K20V,True,,20060101,20250825
72054500169,720545,00169,CT,41.384,-72.506,2.636780920421359,KSNC,KSNC,True,,20090101,20250826
72502754788,725027,54788,CT,41.51,-72.828,2.410278768661706,KMMK,KMMK,True,,20060101,20250827
