year,state,avg_capacity_factor,avg_wind_speed_ms,day_count
1995,AL,0.02163392328767123,3.120885753424658,365
1995,AR,0.028298421917808212,3.236893150684932,365
1995,AZ,0.030284446575342468,3.1102452054794525,365
1995,CA,0.04196898904109589,3.2678076712328767,365
1995,CO,0.04629979452054795,3.6366624657534246,365
1995,CT,0.03188429315068493,3.507368767123288,365
1995,DE,0.03960063287671233,3.575349315068493,365
1995,FL,0.03203888493150685,3.495776164383562,365
1995,GA,0.024816983561643836,3.118506849315069,365
1995,IA,0.0688628301369863,4.3567953424657535,365
1995,ID,0.03981715890410959,3.020658904109589,365
1995,IL,0.06436861369863014,4.294946575342466,365
1995,IN,0.05876103287671233,4.166850410958904,365
1995,KS,0.08784510684931505,4.77943397260274,365
1995,KY,0.027420043835616435,3.3575591780821923,365
1995,LA,0.029341821917808222,3.316249315068493,365
1995,MA,0.0626654602739726,4.395941095890411,365
1995,MD,0.03110040821917808,3.3484890410958905,365
1995,ME,0.03454207671232876,3.2273832876712327,365
1995,MI,0.04805955890410959,3.9072802739726025,365
1995,MN,0.05512097808219177,3.7846287671232877,365
1995,MO,0.051393742465753435,4.0510753424657535,365
1995,MS,0.020216276712328764,2.8741076712328772,365
1995,MT,0.07269472602739727,4.005354794520547,365
1995,NC,0.025949536986301373,3.1816715068493147,365
1995,ND,0.09690870410958903,4.963281095890411,365
1995,NE,0.08194431506849315,4.65558410958904,365
1995,NH,0.08372804109589041,4.348892876712328,365
1995,NJ,0.04609834794520548,3.914895890410959,365
1995,NM,0.06819086575342467,4.1849410958904105,365
1995,NV,0.04989275068493151,3.560712328767123,365
1995,NY,0.05739705205479452,4.019439452054795,365
1995,OH,0.06214093150684931,4.2238156164383565,365
1995,OK,0.06808414794520548,4.511415342465753,365
1995,OR,0.03999535068493151,3.1755619178082197,365
1995,PA,0.03985570410958903,3.6738131506849303,365
1995,RI,0.08614679726027398,5.0444928767123285,365
1995,SC,0.02408649315068493,3.2913956164383564,365
1995,SD,0.07884336164383561,4.43479095890411,365
1995,TN,0.02403005205479452,2.9672334246575347,365
1995,TX,0.06307892328767123,4.268322465753425,365
1995,UT,0.03695793150684932,2.937147123287671,365
1995,VA,0.027872082191780823,2.9752832876712327,365
1995,VT,0.03526612328767123,3.2775871232876717,365
1995,WA,0.032102,3.187279726027397,365
1995,WI,0.052671904109589045,4.0091279452054795,365
1995,WV,0.01755653698630137,2.7751008219178086,365
1995,WY,0.07450282191780823,3.8986627397260265,365
1996,AL,0.023122,3.046521857923497,366
1996,AR,0.03447511202185793,3.4398338797814207,366
1996,AZ,0.03868183333333333,3.3529718579234973,366
1996,CA,0.04590338797814207,3.404735792349727,366
1996,CO,0.05815168852459016,3.7671319672131145,366
1996,CT,0.0356747868852459,3.47560218579235,366
1996,DE,0.062489019125683054,4.098690710382514,366
1996,FL,0.03714975136612021,3.5935631147540987,366
1996,GA,0.024740748633879782,2.9859032786885247,366
1996,IA,0.07348795901639345,4.363981967213116,366
1996,ID,0.047446887978142074,3.230485519125683,366
1996,IL,0.0707650655737705,4.455528961748634,366
1996,IN,0.06097268852459016,4.18569918032787,366
1996,KS,0.10629023224043717,5.052599726775956,366
1996,KY,0.0294634781420765,3.2066248633879777,366
1996,LA,0.035589352459016406,3.4337262295081965,366
1996,MA,0.07013695355191257,4.386851366120218,366
1996,MD,0.03459851092896175,3.2313038251366115,366
1996,ME,0.04249238797814207,3.384217486338798,366
1996,MI,0.04530935245901639,3.8094516393442617,366
1996,MN,0.055907860655737704,3.858124043715847,366
1996,MO,0.05915834972677595,4.2388745901639355,366
1996,MS,0.02084964207650273,2.8527934426229513,366
1996,MT,0.0828464262295082,4.1926344262295085,366
1996,NC,0.034697360655737704,3.342519398907104,366
1996,ND,0.10599688797814211,5.119513114754098,366
1996,NE,0.09774702732240438,4.871691530054645,366
1996,NH,0.07844395355191257,4.1280456284153,366
1996,NJ,0.05073784699453553,3.873977868852459,366
1996,NM,0.07541902459016393,4.301869945355192,366
1996,NV,0.047514893442622955,3.4486969945355197,366
1996,NY,0.057244868852459024,3.90990655737705,366
1996,OH,0.06580843169398908,4.279551366120219,366
1996,OK,0.09578517486338799,4.929859016393443,366
1996,OR,0.03920884153005465,3.150509836065574,366
1996,PA,0.04014000273224043,3.518102459016393,366
1996,RI,0.08446096174863386,4.815676229508197,366
1996,SC,0.03092536885245901,3.424115300546448,366
1996,SD,0.08994022404371584,4.639790163934427,366
1996,TN,0.032126401639344264,3.112177868852459,366
1996,TX,0.08006781967213115,4.648182513661202,366
1996,UT,0.043325491803278694,3.1875284153005463,366
1996,VA,0.033695133879781416,3.0686871584699458,366
1996,VT,0.025662521857923493,2.688188524590164,366
1996,WA,0.03288451092896175,3.2124830601092897,366
1996,WI,0.05385100819672132,4.055877595628416,366
1996,WV,0.018484789617486334,2.774323770491803,366
1996,WY,0.08756847814207651,4.14832650273224,366
1997,AL,0.018435906849315068,2.988829589041096,365
1997,AR,0.02613273424657534,3.1416457534246574,365
1997,AZ,0.036780821917808224,3.3287912328767124,365
1997,CA,0.04581830136986302,3.4759827397260272,365
1997,CO,0.04876617808219178,3.529877260273973,365
1997,CT,0.035494758904109594,3.512949863013699,365
1997,DE,0.05957942465753424,4.17896301369863,365
1997,FL,0.02970521643835617,3.453545753424658,365
1997,GA,0.019577342465753426,2.9297112328767128,365
1997,IA,0.06995779726027397,4.196357260273973,365
1997,ID,0.04115083561643836,3.1225687671232882,365
1997,IL,0.0596979808219178,4.215948219178083,365
1997,IN,0.05709760547945206,4.141285205479453,365
1997,KS,0.07879382191780822,4.562737534246575,365
1997,KY,0.020566046575342466,2.8876879452054802,365
1997,LA,0.031161430136986298,3.295125205479452,365
1997,MA,0.0660858301369863,4.2633939726027394,365
1997,MD,0.03635073698630137,3.412656438356164,365
1997,ME,0.03459493150684932,3.1943783561643837,365
1997,MI,0.04171731780821918,3.6742575342465753,365
1997,MN,0.05353625753424657,3.7426572602739725,365
1997,MO,0.041353695890410956,3.739898904109589,365
1997,MS,0.015671901369863014,2.721630136986301,365
1997,MT,0.08004746301369862,4.03903698630137,365
1997,NC,0.028252827397260274,3.2239775342465755,365
1997,ND,0.10992149863013696,5.136146301369863,365
1997,NE,0.09402025753424657,4.748180547945205,365
1997,NH,0.0725343397260274,4.29562,365
1997,NJ,0.05199065205479452,3.920166849315069,365
1997,NM,0.060281156164383565,4.011391780821918,365
1997,NV,0.04425503287671233,3.416735890410959,365
1997,NY,0.05919640821917808,4.050478630136986,365
1997,OH,0.05637162739726027,4.0148334246575335,365
1997,OK,0.06929411506849315,4.459736164383561,365
1997,OR,0.032759199999999995,2.9159194520547946,365
1997,PA,0.044252197260273976,3.673190684931506,365
1997,RI,0.0757798,4.73788794520548,365
1997,SC,0.024480465753424656,3.273798630136987,365
1997,SD,0.08980471780821918,4.498288767123288,365
1997,TN,0.022225526027397264,2.843018630136986,365
1997,TX,0.05456092876712328,4.118594520547945,365
1997,UT,0.0421798301369863,3.2084671232876714,365
1997,VA,0.030440246575342465,3.0292090410958905,365
1997,VT,0.022104852054794517,2.5537320547945206,365
1997,WA,0.03598504383561644,3.230996438356164,365
1997,WI,0.04510467123287671,3.7233279452054795,365
1997,WV,0.017855528767123287,2.7090816438356167,365
1997,WY,0.07957276438356163,3.9782334246575344,365
1998,AL,0.021354438356164383,2.98623397260274,365
1998,AR,0.022127252054794516,2.991193424657534,365
1998,AZ,0.036195882191780826,3.4685838356164376,365
1998,CA,0.042752909589041106,3.385246575342465,365
1998,CO,0.06144026301369863,4.02449095890411,365
1998,CT,0.03810260547945205,3.684082739726028,365
1998,DE,0.044792509589041095,3.8862172602739724,365
1998,FL,0.036049928767123283,3.60130904109589,365
1998,GA,0.019341753424657535,2.8179347945205477,365
1998,IA,0.06345274520547946,4.19877698630137,365
1998,ID,0.04495921369863014,3.5760205479452054,365
1998,IL,0.046313046575342465,3.7562405479452057,365
1998,IN,0.042165553424657526,3.5295109589041096,365
1998,KS,0.08411813698630137,4.670407671232877,365
1998,KY,0.02001913698630137,2.842503561643836,365
1998,LA,0.0350987205479452,3.448078356164384,365
1998,MA,0.042995238356164395,3.5211961643835616,365
1998,MD,0.03635695068493151,3.4701101369863014,365
1998,ME,0.03398091780821918,3.42030301369863,365
1998,MI,0.0452198,3.815540547945206,365
1998,MN,0.05212522191780822,3.943322465753424,365
1998,MO,0.047320131506849314,3.845616986301369,365
1998,MS,0.017791827397260273,2.7048608219178085,365
1998,MT,0.07048025753424658,3.966423835616438,365
1998,NC,0.025150939726027395,3.088031780821918,365
1998,ND,0.0739526,4.513398630136986,365
1998,NE,0.07284047671232877,4.360942465753426,365
1998,NH,0.020617378082191776,2.5470186301369866,365
1998,NJ,0.03927557260273972,3.574540547945205,365
1998,NM,0.07351215068493151,4.307732602739726,365
1998,NV,0.04733079452054794,3.482116164383562,365
1998,NY,0.04640215342465754,3.713918082191781,365
1998,OH,0.035670271232876714,3.4341652054794527,365
1998,OK,0.07670134794520547,4.626644657534246,365
1998,OR,0.036414690410958905,3.066924109589041,365
1998,PA,0.03045047397260273,3.2557158904109587,365
1998,RI,0.07078144931506848,4.545651780821919,365
1998,SC,0.028359536986301365,3.300944109589041,365
1998,SD,0.07318503835616438,4.296320000000001,365
1998,TN,0.021574830136986304,2.882565479452055,365
1998,TX,0.06942299726027398,4.44986712328767,365
1998,UT,0.05736984383561644,3.9032501369863017,365
1998,VA,0.030502868493150686,3.1781142465753427,365
1998,VT,0.0199247698630137,2.3980172602739724,365
1998,WA,0.03255552328767123,3.2923926027397257,365
1998,WI,0.044021082191780816,3.8418498630136986,365
1998,WV,0.011888112328767126,2.2975312328767123,365
1998,WY,0.0779102301369863,3.9673339726027392,365
1999,AL,0.01722724109589041,2.6313046575342467,365
1999,AR,0.02050930684931507,2.810341369863014,365
1999,AZ,0.04037034246575343,3.3438476712328766,365
1999,CA,0.04311565479452055,3.282613698630137,365
1999,CO,0.07604302465753424,4.27194,365
1999,CT,0.05258562739726027,4.082996164383562,365
1999,DE,0.04578957967032967,4.097251923076922,364
1999,FL,0.028652128767123287,3.3293953424657534,365
1999,GA,0.016059128767123287,2.59630794520548,365
1999,IA,0.07907375616438356,4.533219726027396,365
1999,ID,0.05289756164383562,3.6681145205479457,365
1999,IL,0.047028717808219184,3.8359890410958903,365
1999,IN,0.04779655616438356,3.8025435616438363,365
1999,KS,0.08993419178082192,4.827557260273972,365
1999,KY,0.024462301369863007,3.0701479452054787,365
1999,LA,0.029011046575342463,3.144820273972603,365
1999,MA,0.05131968493150685,3.697932602739726,365
1999,MD,0.04468831232876712,3.7931309589041096,365
1999,ME,0.04495137534246575,3.6331380821917807,365
1999,MI,0.044826361643835605,3.713855068493151,365
1999,MN,0.060681126027397246,3.9803200000000003,365
1999,MO,0.04822915616438355,3.9362194520547944,365
1999,MS,0.016216698630136986,2.6127041095890418,365
1999,MT,0.0881129178082192,4.309449589041097,365
1999,NC,0.026168731506849313,2.956937534246575,365
1999,ND,0.09989608219178084,4.918779726027398,365
1999,NE,0.08837782465753424,4.640058082191781,365
1999,NH,0.024053054794520547,2.5742438356164383,365
1999,NJ,0.03845926027397261,3.446436712328768,365
1999,NM,0.07735860273972603,4.323854794520549,365
1999,NV,0.05313875890410959,3.59416904109589,365
1999,NY,0.051080098630136996,3.8556068493150684,365
1999,OH,0.040694243835616435,3.6448367123287677,365
1999,OK,0.07515370958904112,4.484276986301369,365
1999,OR,0.043197775342465744,3.236003287671233,365
1999,PA,0.033699849315068496,3.3285898630136983,365
1999,RI,0.06946491232876714,4.4468186301369865,365
1999,SC,0.026469063013698627,3.111967945205479,365
1999,SD,0.10428828493150687,4.871346849315069,365
1999,TN,0.021188523287671228,2.805416164383561,365
1999,TX,0.06079887945205478,4.192899178082191,365
1999,UT,0.052935550684931505,3.702074246575342,365
1999,VA,0.03408983287671233,3.178417534246576,365
1999,VT,0.024938257534246572,2.4729115068493153,365
1999,WA,0.044744520547945206,3.456616438356164,365
1999,WI,0.046585704109589045,3.844432876712329,365
1999,WV,0.017136169863013695,2.6335616438356166,365
1999,WY,0.08894920547945205,4.177511506849315,365
2000,AL,0.018255907103825134,2.757511475409836,366
2000,AR,0.019792934426229508,2.7893150273224037,366
2000,AZ,0.03885272131147541,3.4083797814207655,366
2000,CA,0.037831106557377044,3.170998907103825,366
2000,CO,0.07231811202185792,4.217866939890711,366
2000,CT,0.04679289344262295,3.8835308743169397,366
2000,DE,0.04952989315068493,4.189138630136988,365
2000,FL,0.03203893715846994,3.4878967213114755,366
2000,GA,0.01659566666666667,2.5754133879781427,366
2000,IA,0.07508489617486339,4.549920491803278,366
2000,ID,0.045937286885245905,3.447322404371585,366
2000,IL,0.05109365027322405,4.065406284153005,366
2000,IN,0.04051281967213115,3.6333953551912574,366
2000,KS,0.09034089344262294,4.85424262295082,366
2000,KY,0.023179169398907108,3.0702008196721313,366
2000,LA,0.028436729508196725,3.2273538251366123,366
2000,MA,0.05762162021857924,3.8777926229508193,366
2000,MD,0.04908392349726778,3.85660956284153,366
2000,ME,0.038767467213114755,3.4884224043715846,366
2000,MI,0.03650568306010929,3.532610109289618,366
2000,MN,0.05621436885245901,3.9025573770491797,366
2000,MO,0.04718723770491804,3.9195663934426226,366
2000,MS,0.018911311475409837,2.8592213114754097,366
2000,MT,0.07756256557377049,4.056758743169399,366
2000,NC,0.023012980874316934,2.8280163934426232,366
2000,ND,0.09522043715846995,4.8094073770491805,366
2000,NE,0.08769696721311473,4.707548907103824,366
2000,NH,0.02060839617486339,2.426640163934426,366
2000,NJ,0.0407089344262295,3.481325683060109,366
2000,NM,0.0773784262295082,4.366436612021858,366
2000,NV,0.04908864480874317,3.4465202185792343,366
2000,NY,0.04720977595628415,3.7124308743169396,366
2000,OH,0.036603308743169395,3.5518994535519126,366
2000,OK,0.06874060928961749,4.416489071038252,366
2000,OR,0.034099256830601096,2.988710382513661,366
2000,PA,0.03311342622950819,3.245920765027323,366
2000,RI,0.06781373224043717,4.426340437158471,366
2000,SC,0.024045622950819672,3.0435098360655735,366
2000,SD,0.11352067486338799,4.992872950819673,366
2000,TN,0.020748560109289618,2.725807650273224,366
2000,TX,0.06650458743169399,4.410586338797814,366
2000,UT,0.04950669125683061,3.5979218579234975,366
2000,VA,0.031774251366120214,3.104190163934426,366
2000,VT,0.021281931693989068,2.33551912568306,366
2000,WA,0.031919379781420766,3.09058606557377,366
2000,WI,0.041050068306010934,3.7592557377049176,366
2000,WV,0.016623295081967214,2.5868371584699457,366
2000,WY,0.07734780327868851,3.9767155737704916,366
2001,AL,0.014950602739726027,2.806260821917809,365
2001,AR,0.017663849315068498,2.913428493150685,365
2001,AZ,0.036403441095890415,3.511509589041096,365
2001,CA,0.03658862739726027,3.3109106849315064,365
2001,CO,0.06626302191780822,4.222880273972602,365
2001,CT,0.03586407671232877,3.7702635616438354,365
2001,DE,0.045209071232876714,3.9705701369863013,365
2001,FL,0.032154706849315075,3.535959178082192,365
2001,GA,0.01464959178082192,2.713211780821918,365
2001,IA,0.06688464931506849,4.362058082191782,365
2001,ID,0.0517347698630137,3.630049315068493,365
2001,IL,0.05268481369863014,4.105972602739726,365
2001,IN,0.04364660821917808,3.8608893150684933,365
2001,KS,0.08641466027397258,4.773119726027398,365
2001,KY,0.022362706849315073,3.0423131506849317,365
2001,LA,0.02498706575342466,3.1578980821917804,365
2001,MA,0.04587936164383562,3.894213698630138,365
2001,MD,0.03711618356164383,3.5841301369863015,365
2001,ME,0.028831975342465753,3.2268515068493158,365
2001,MI,0.041286356164383566,3.8204945205479457,365
2001,MN,0.05470171232876712,4.053076438356165,365
2001,MO,0.04476888767123287,3.9187367123287675,365
2001,MS,0.016051975342465753,2.8643654794520548,365
