year,month,state,capacity_factor
1995,5,MO,0.046198
1995,5,MS,0.0195
1995,5,MT,0.062308
1995,5,NC,0.028444
1995,5,ND,0.09966
1995,5,NE,0.095642
1995,5,NH,0.081973
1995,5,NJ,0.039191
1995,5,NM,0.130488
1995,5,NV,0.046986
1995,5,NY,0.049963
1995,5,OH,0.050912
1995,5,OK,0.064699
1995,5,OR,0.028994
1995,5,PA,0.037135
1995,5,RI,0.090629
1995,5,SC,0.029821
1995,5,SD,0.084142
1995,5,TN,0.023969
1995,5,TX,0.091486
1995,5,UT,0.042998
1995,5,VA,0.022327
1995,5,VT,0.041087
1995,5,WA,0.025854
1995,5,WI,0.054458
1995,5,WV,0.016888
1995,5,WY,0.069662
1995,6,AL,0.012907
1995,6,AR,0.013837
1995,6,AZ,0.04765
1995,6,CA,0.060204
1995,6,CO,0.04847
1995,6,CT,0.015518
1995,6,DE,0.021558
1995,6,FL,0.031469
1995,6,GA,0.020193
1995,6,IA,0.039155
1995,6,ID,0.029834
1995,6,IL,0.028104
1995,6,IN,0.023271
1995,6,KS,0.067509
1995,6,KY,0.012301
1995,6,LA,0.017379
1995,6,MA,0.037192
1995,6,MD,0.014024
1995,6,ME,0.016745
1995,6,MI,0.018125
1995,6,MN,0.032324
1995,6,MO,0.021951
1995,6,MS,0.009159
1995,6,MT,0.046361
1995,6,NC,0.017124
1995,6,ND,0.075879
1995,6,NE,0.073554
1995,6,NH,0.061305
1995,6,NJ,0.025291
1995,6,NM,0.080369
1995,6,NV,0.05952
1995,6,NY,0.030461
1995,6,OH,0.016624
1995,6,OK,0.052032
1995,6,OR,0.031733
1995,6,PA,0.017239
1995,6,RI,0.064705
1995,6,SC,0.021552
1995,6,SD,0.056171
1995,6,TN,0.011089
1995,6,TX,0.063821
1995,6,UT,0.047142
1995,6,VA,0.013124
1995,6,VT,0.020441
1995,6,WA,0.0281
1995,6,WI,0.020048
1995,6,WV,0.006812
1995,6,WY,0.054325
1995,7,AL,0.013698
1995,7,AR,0.018071
1995,7,AZ,0.030066
1995,7,CA,0.041965
1995,7,CO,0.030427
1995,7,CT,0.011198
1995,7,DE,0.016105
1995,7,FL,0.023961
1995,7,GA,0.014445
1995,7,IA,0.031336
1995,7,ID,0.031712
1995,7,IL,0.037386
1995,7,IN,0.029389
1995,7,KS,0.05128
1995,7,KY,0.012262
1995,7,LA,0.024013
1995,7,MA,0.033227
1995,7,MD,0.013355
1995,7,ME,0.01507
1995,7,MI,0.028499
1995,7,MN,0.035251
1995,7,MO,0.02787
1995,7,MS,0.011516
1995,7,MT,0.048926
1995,7,NC,0.009094
1995,7,ND,0.059468
1995,7,NE,0.044649
1995,7,NH,0.072696
1995,7,NJ,0.018559
1995,7,NM,0.040126
1995,7,NV,0.064176
1995,7,NY,0.031639
1995,7,OH,0.032901
1995,7,OK,0.043883
1995,7,OR,0.027768
1995,7,PA,0.016098
1995,7,RI,0.051922
1995,7,SC,0.013084
1995,7,SD,0.047663
1995,7,TN,0.012468
1995,7,TX,0.050053
1995,7,UT,0.039112
1995,7,VA,0.009489
1995,7,VT,0.023061
1995,7,WA,0.031928
1995,7,WI,0.039389
1995,7,WV,0.006739
1995,7,WY,0.053597
1995,8,AL,0.019664
1995,8,AR,0.009122
1995,8,AZ,0.02768
1995,8,CA,0.036149
1995,8,CO,0.025342
1995,8,CT,0.016495
1995,8,DE,0.015371
1995,8,FL,0.036532
1995,8,GA,0.023007
1995,8,IA,0.017582
1995,8,ID,0.027685
1995,8,IL,0.016646
1995,8,IN,0.013708
1995,8,KS,0.069111
1995,8,KY,0.007875
1995,8,LA,0.008226
1995,8,MA,0.04355
1995,8,MD,0.01436
1995,8,ME,0.022925
1995,8,MI,0.019554
1995,8,MN,0.029067
1995,8,MO,0.016459
1995,8,MS,0.009726
1995,8,MT,0.067787
1995,8,NC,0.020449
1995,8,ND,0.092779
1995,8,NE,0.044604
1995,8,NH,0.068094
1995,8,NJ,0.0276
1995,8,NM,0.036413
1995,8,NV,0.050679
1995,8,NY,0.028683
1995,8,OH,0.015603
1995,8,OK,0.03334
1995,8,OR,0.026444
1995,8,PA,0.013718
1995,8,RI,0.061317
1995,8,SC,0.019352
1995,8,SD,0.051577
1995,8,TN,0.009765
1995,8,TX,0.032515
1995,8,UT,0.038105
1995,8,VA,0.018112
1995,8,VT,0.028199
1995,8,WA,0.026383
1995,8,WI,0.020875
1995,8,WV,0.005041
1995,8,WY,0.046535
1995,9,AL,0.011234
1995,9,AR,0.01343
1995,9,AZ,0.023968
1995,9,CA,0.030762
1995,9,CO,0.026675
1995,9,CT,0.022695
1995,9,DE,0.018178
1995,9,FL,0.014026
1995,9,GA,0.015757
1995,9,IA,0.02707
1995,9,ID,0.021463
1995,9,IL,0.036447
1995,9,IN,0.024789
1995,9,KS,0.060967
1995,9,KY,0.008708
1995,9,LA,0.016783
1995,9,MA,0.042563
1995,9,MD,0.01334
1995,9,ME,0.028714
1995,9,MI,0.027482
