station_id,latitude,longitude,state,avg_wind_speed_ms
99999953151,33.439,-117.19,CA,1.8838153310104473
72297793184,33.68,-117.867,CA,2.4830486944249373
72483893205,39.102,-121.569,CA,3.23525155645301
72293193107,32.867,-117.133,CA,2.4541212834855792
72583799999,40.376,-120.573,CA,2.7173907512240314
99403699999,37.928,-122.4,CA,2.9268863677293417
72590523275,39.128,-123.2,CA,1.6983316554006298
72295603167,33.924,-118.333,CA,2.362303523035334
72290693112,32.692,-117.21,CA,3.0291924571757196
99849699999,37.795,-122.288,CA,2.8153308230233143
72592024257,40.515,-122.298,CA,2.856501037724241
72033353175,33.898,-117.602,CA,2.365299830430218
72040600135,38.15,-122.55,CA,2.517168496870558
72392623136,34.211,-119.088,CA,2.5940426109377235
99999904222,40.651,-122.607,CA,2.4055216861174045
72295023174,33.938,-118.387,CA,3.4526727066815366
72289903179,33.976,-117.625,CA,2.640194292653417
72281023199,32.832,-115.664,CA,4.033356176117761
A0685400115,34.264,-116.854,CA,2.394573260976483
99847999999,37.798,-122.393,CA,2.8773557864566417
72491699999,36.682,-121.762,CA,3.77563040345749
72389799999,36.732,-119.82,CA,3.2559361549498815
99847599999,38.033,-122.125,CA,4.720677843879568
72389853119,36.311,-119.623,CA,2.3622034956306077
72286699999,34.095,-117.235,CA,1.6916005808110095
72494693232,37.333,-121.817,CA,2.920082087364513
72584693201,39.32,-120.139,CA,1.771336794860525
72019300117,40.747,-122.922,CA,1.0210985838031785
72289093136,34.233,-118.067,CA,1.6027721433401347
72286903171,33.953,-117.435,CA,2.4007403979640443
72593023233,36.664,-121.609,CA,3.6648255403304475
72495023254,37.992,-122.053,CA,3.8187824445492566
72288703180,34.1,-117.783,CA,3.086142709410646
99401299999,41.745,-124.183,CA,3.6067014952260865
72483993225,38.701,-121.595,CA,3.6630192502532757
72290023188,32.734,-117.183,CA,2.536182244984907
72480023157,37.371,-118.359,CA,3.841850104821595
72493893231,37.517,-122.25,CA,2.375724362452482
72483023232,38.507,-121.496,CA,2.6887817980725015
72380523179,34.768,-114.618,CA,4.085961236249271
74612093104,35.686,-117.691,CA,3.9228434504793475
69015093121,34.294,-116.147,CA,4.1111840665354045
A0705300346,40.983,-122.694,CA,1.8324845022484504
72595724215,41.315,-122.317,CA,1.060167542706992
72068799999,33.733,-117.017,CA,2.929778436573258
72393093214,34.717,-120.567,CA,3.5613024420785866
72494523293,37.359,-121.924,CA,3.0137021550338434
99404199999,37.507,-122.2,CA,2.9220959595961107
72026723224,38.955,-121.082,CA,2.542877535240027
72068199999,38.146,-120.648,CA,2.0024472370871247
72495723213,38.504,-122.811,CA,2.209006376195662
72288623130,34.212,-118.491,CA,2.452566212778841
72389523149,36.029,-119.063,CA,2.5393071414749167
72585093228,37.654,-122.115,CA,3.478035610040751
72594524283,40.978,-124.105,CA,2.5753809141939126
72292593117,33.023,-118.588,CA,4.074736647569691
72288023152,34.2,-118.365,CA,2.548564087061808
99773499999,37.92,-122.45,CA,2.6817696969698073
72291093116,33.234,-119.456,CA,5.9836499791981215
72297603166,33.872,-117.986,CA,1.814693411611322
72286023119,33.9,-117.25,CA,2.209132355036461
99819799999,37.8,-122.317,CA,4.042054720057944
72594024213,40.81,-124.16,CA,2.6894907908992387
72492723285,37.693,-121.815,CA,3.1485450136405007
72286893138,33.822,-116.504,CA,3.2634261692065767
99403499999,38.057,-122.038,CA,5.109324817518133
72481523257,37.286,-120.518,CA,2.66919093851149
72376293244,34.607,-120.076,CA,2.4460378932312823
72383023187,34.744,-118.725,CA,6.294183601961659
