date,year,month,season,state,capacity_factor,source_row_count
1995-01-03,1995,1,winter,NV,0.017474,1
1995-01-03,1995,1,winter,NY,0.114203,1
1995-01-03,1995,1,winter,OH,0.12209,1
1995-01-03,1995,1,winter,OK,0.085103,1
1995-01-03,1995,1,winter,OR,0.136369,1
1995-01-03,1995,1,winter,PA,0.068696,1
1995-01-03,1995,1,winter,RI,0.083248,1
1995-01-03,1995,1,winter,SC,0.010293,1
1995-01-03,1995,1,winter,SD,0.102937,1
1995-01-03,1995,1,winter,TN,0.000963,1
1995-01-03,1995,1,winter,TX,0.037708,1
1995-01-03,1995,1,winter,UT,0.005968,1
1995-01-03,1995,1,winter,VA,0.015909,1
1995-01-03,1995,1,winter,VT,0.033348,1
1995-01-03,1995,1,winter,WA,0.019881,1
1995-01-03,1995,1,winter,WI,0.101908,1
1995-01-03,1995,1,winter,WV,0.014681,1
1995-01-03,1995,1,winter,WY,0.009102,1
1995-01-04,1995,1,winter,AL,0.027803,1
1995-01-04,1995,1,winter,AR,0.019995,1
1995-01-04,1995,1,winter,AZ,0.006628,1
1995-01-04,1995,1,winter,CA,0.105512,1
1995-01-04,1995,1,winter,CO,0.011623,1
1995-01-04,1995,1,winter,CT,0.053781,1
1995-01-04,1995,1,winter,DE,0.051049,1
1995-01-04,1995,1,winter,FL,0.013518,1
1995-01-04,1995,1,winter,GA,0.048935,1
1995-01-04,1995,1,winter,IA,0.036419,1
1995-01-04,1995,1,winter,ID,0.073119,1
1995-01-04,1995,1,winter,IL,0.080724,1
1995-01-04,1995,1,winter,IN,0.099408,1
1995-01-04,1995,1,winter,KS,0.008838,1
1995-01-04,1995,1,winter,KY,0.029639,1
1995-01-04,1995,1,winter,LA,0.057265,1
1995-01-04,1995,1,winter,MA,0.098816,1
1995-01-04,1995,1,winter,MD,0.063733,1
1995-01-04,1995,1,winter,ME,0.008137,1
1995-01-04,1995,1,winter,MI,0.075641,1
1995-01-04,1995,1,winter,MN,0.038035,1
1995-01-04,1995,1,winter,MO,0.030446,1
1995-01-04,1995,1,winter,MS,0.048295,1
1995-01-04,1995,1,winter,MT,0.007542,1
1995-01-04,1995,1,winter,NC,0.012011,1
1995-01-04,1995,1,winter,ND,0.062637,1
1995-01-04,1995,1,winter,NE,0.009315,1
1995-01-04,1995,1,winter,NH,0.139617,1
1995-01-04,1995,1,winter,NJ,0.09711,1
1995-01-04,1995,1,winter,NM,0.014887,1
1995-01-04,1995,1,winter,NV,0.031746,1
1995-01-04,1995,1,winter,NY,0.136492,1
1995-01-04,1995,1,winter,OH,0.160004,1
1995-01-04,1995,1,winter,OK,0.0207,1
1995-01-04,1995,1,winter,OR,0.120832,1
1995-01-04,1995,1,winter,PA,0.096277,1
1995-01-04,1995,1,winter,RI,0.202237,1
1995-01-04,1995,1,winter,SC,0.003617,1
1995-01-04,1995,1,winter,SD,0.02882,1
1995-01-04,1995,1,winter,TN,0.022289,1
1995-01-04,1995,1,winter,TX,0.072887,1
1995-01-04,1995,1,winter,UT,0.023191,1
1995-01-04,1995,1,winter,VA,0.031603,1
1995-01-04,1995,1,winter,VT,0.046034,1
1995-01-04,1995,1,winter,WA,0.014763,1
1995-01-04,1995,1,winter,WI,0.081347,1
1995-01-04,1995,1,winter,WV,0.038158,1
1995-01-04,1995,1,winter,WY,0.013392,1
1995-01-05,1995,1,winter,AL,0.012851,1
1995-01-05,1995,1,winter,AR,0.017378,1
1995-01-05,1995,1,winter,AZ,0.165646,1
1995-01-05,1995,1,winter,CA,0.161117,1
1995-01-05,1995,1,winter,CO,0.02448,1
1995-01-05,1995,1,winter,CT,0.057732,1
1995-01-05,1995,1,winter,DE,0.097261,1
1995-01-05,1995,1,winter,FL,0.04805,1
1995-01-05,1995,1,winter,GA,0.026229,1
1995-01-05,1995,1,winter,IA,0.102278,1
1995-01-05,1995,1,winter,ID,0.065595,1
1995-01-05,1995,1,winter,IL,0.081959,1
1995-01-05,1995,1,winter,IN,0.06014,1
1995-01-05,1995,1,winter,KS,0.240895,1
1995-01-05,1995,1,winter,KY,0.007179,1
1995-01-05,1995,1,winter,LA,0.036509,1
1995-01-05,1995,1,winter,MA,0.146152,1
1995-01-05,1995,1,winter,MD,0.06403,1
1995-01-05,1995,1,winter,ME,0.028202,1
1995-01-05,1995,1,winter,MI,0.164502,1
1995-01-05,1995,1,winter,MN,0.16014,1
1995-01-05,1995,1,winter,MO,0.056704,1
1995-01-05,1995,1,winter,MS,0.014267,1
1995-01-05,1995,1,winter,MT,0.032758,1
1995-01-05,1995,1,winter,NC,0.046382,1
1995-01-05,1995,1,winter,ND,0.101776,1
1995-01-05,1995,1,winter,NE,0.124554,1
1995-01-05,1995,1,winter,NH,0.090508,1
1995-01-05,1995,1,winter,NJ,0.138262,1
1995-01-05,1995,1,winter,NM,0.086128,1
1995-01-05,1995,1,winter,NV,0.041339,1
1995-01-05,1995,1,winter,NY,0.176043,1
1995-01-05,1995,1,winter,OH,0.130303,1
1995-01-05,1995,1,winter,OK,0.102223,1
1995-01-05,1995,1,winter,OR,0.053645,1
1995-01-05,1995,1,winter,PA,0.100565,1
1995-01-05,1995,1,winter,RI,0.171878,1
1995-01-05,1995,1,winter,SC,0.028231,1
1995-01-05,1995,1,winter,SD,0.07284,1
1995-01-05,1995,1,winter,TN,0.011475,1
1995-01-05,1995,1,winter,TX,0.073121,1
1995-01-05,1995,1,winter,UT,0.014676,1
1995-01-05,1995,1,winter,VA,0.044555,1
1995-01-05,1995,1,winter,VT,0.05981,1
1995-01-05,1995,1,winter,WA,0.006495,1
1995-01-05,1995,1,winter,WI,0.177547,1
1995-01-05,1995,1,winter,WV,0.01739,1
1995-01-05,1995,1,winter,WY,0.009346,1
1995-01-06,1995,1,winter,AL,0.08724,1
1995-01-06,1995,1,winter,AR,0.024184,1
1995-01-06,1995,1,winter,AZ,0.041987,1
1995-01-06,1995,1,winter,CA,0.050008,1
1995-01-06,1995,1,winter,CO,0.041409,1
1995-01-06,1995,1,winter,CT,0.06408,1
1995-01-06,1995,1,winter,DE,0.029454,1
1995-01-06,1995,1,winter,FL,0.089886,1
1995-01-06,1995,1,winter,GA,0.038897,1
1995-01-06,1995,1,winter,IA,0.106758,1
1995-01-06,1995,1,winter,ID,0.005972,1
1995-01-06,1995,1,winter,IL,0.058748,1
1995-01-06,1995,1,winter,IN,0.044762,1
1995-01-06,1995,1,winter,KS,0.207018,1
1995-01-06,1995,1,winter,KY,0.020594,1
1995-01-06,1995,1,winter,LA,0.171112,1
1995-01-06,1995,1,winter,MA,0.179856,1
1995-01-06,1995,1,winter,MD,0.0396,1
1995-01-06,1995,1,winter,ME,0.040471,1
1995-01-06,1995,1,winter,MI,0.095131,1
1995-01-06,1995,1,winter,MN,0.094909,1
1995-01-06,1995,1,winter,MO,0.050407,1
1995-01-06,1995,1,winter,MS,0.088144,1
1995-01-06,1995,1,winter,MT,0.026879,1
1995-01-06,1995,1,winter,NC,0.015342,1
1995-01-06,1995,1,winter,ND,0.105573,1
1995-01-06,1995,1,winter,NE,0.226831,1
1995-01-06,1995,1,winter,NH,0.029597,1
1995-01-06,1995,1,winter,NJ,0.064534,1
1995-01-06,1995,1,winter,NM,0.200533,1
1995-01-06,1995,1,winter,NV,0.010984,1
1995-01-06,1995,1,winter,NY,0.117641,1
1995-01-06,1995,1,winter,OH,0.081579,1
1995-01-06,1995,1,winter,OK,0.204633,1
1995-01-06,1995,1,winter,OR,0.021499,1
1995-01-06,1995,1,winter,PA,0.028194,1
1995-01-06,1995,1,winter,RI,0.279267,1
1995-01-06,1995,1,winter,SC,0.027342,1
1995-01-06,1995,1,winter,SD,0.199336,1
1995-01-06,1995,1,winter,TN,0.027411,1
1995-01-06,1995,1,winter,TX,0.148176,1
1995-01-06,1995,1,winter,UT,0.012061,1
1995-01-06,1995,1,winter,VA,0.017237,1
1995-01-06,1995,1,winter,VT,0.070666,1
1995-01-06,1995,1,winter,WA,0.000775,1
1995-01-06,1995,1,winter,WI,0.050776,1
1995-01-06,1995,1,winter,WV,0.010601,1
1995-01-06,1995,1,winter,WY,0.04499,1
1995-01-07,1995,1,winter,AL,0.062411,1
1995-01-07,1995,1,winter,AR,0.030915,1
1995-01-07,1995,1,winter,AZ,0.009968,1
1995-01-07,1995,1,winter,CA,0.151811,1
1995-01-07,1995,1,winter,CO,0.033275,1
1995-01-07,1995,1,winter,CT,0.073168,1
1995-01-07,1995,1,winter,DE,0.014596,1
1995-01-07,1995,1,winter,FL,0.077144,1
1995-01-07,1995,1,winter,GA,0.096323,1
1995-01-07,1995,1,winter,IA,0.054462,1
1995-01-07,1995,1,winter,ID,0.063072,1
1995-01-07,1995,1,winter,IL,0.031241,1
1995-01-07,1995,1,winter,IN,0.02243,1
1995-01-07,1995,1,winter,KS,0.054588,1
1995-01-07,1995,1,winter,KY,0.026612,1
1995-01-07,1995,1,winter,LA,0.02229,1
1995-01-07,1995,1,winter,MA,0.179818,1
1995-01-07,1995,1,winter,MD,0.041773,1
1995-01-07,1995,1,winter,ME,0.046421,1
1995-01-07,1995,1,winter,MI,0.024758,1
1995-01-07,1995,1,winter,MN,0.037905,1
1995-01-07,1995,1,winter,MO,0.057882,1
1995-01-07,1995,1,winter,MS,0.025266,1
1995-01-07,1995,1,winter,MT,0.083103,1
1995-01-07,1995,1,winter,NC,0.108213,1
1995-01-07,1995,1,winter,ND,0.134805,1
1995-01-07,1995,1,winter,NE,0.027759,1
1995-01-07,1995,1,winter,NH,0.085435,1
1995-01-07,1995,1,winter,NJ,0.095169,1
1995-01-07,1995,1,winter,NM,0.062953,1
1995-01-07,1995,1,winter,NV,0.127279,1
1995-01-07,1995,1,winter,NY,0.064787,1
1995-01-07,1995,1,winter,OH,0.033233,1
1995-01-07,1995,1,winter,OK,0.052704,1
1995-01-07,1995,1,winter,OR,0.130328,1
1995-01-07,1995,1,winter,PA,0.031576,1
1995-01-07,1995,1,winter,RI,0.315934,1
1995-01-07,1995,1,winter,SC,0.146786,1
1995-01-07,1995,1,winter,SD,0.046409,1
1995-01-07,1995,1,winter,TN,0.036697,1
1995-01-07,1995,1,winter,TX,0.034476,1
1995-01-07,1995,1,winter,UT,0.06722,1
1995-01-07,1995,1,winter,VA,0.050375,1
1995-01-07,1995,1,winter,VT,0.026643,1
1995-01-07,1995,1,winter,WA,0.030455,1
1995-01-07,1995,1,winter,WI,0.025342,1
1995-01-07,1995,1,winter,WV,0.03298,1
1995-01-07,1995,1,winter,WY,0.139452,1
1995-01-08,1995,1,winter,AL,0.006953,1
1995-01-08,1995,1,winter,AR,0.013799,1
1995-01-08,1995,1,winter,AZ,0.006425,1
1995-01-08,1995,1,winter,CA,0.127293,1
1995-01-08,1995,1,winter,CO,0.056134,1
1995-01-08,1995,1,winter,CT,0.020739,1
1995-01-08,1995,1,winter,DE,0.020299,1
1995-01-08,1995,1,winter,FL,0.021537,1
1995-01-08,1995,1,winter,GA,0.020544,1
1995-01-08,1995,1,winter,IA,0.012489,1
1995-01-08,1995,1,winter,ID,0.083238,1
1995-01-08,1995,1,winter,IL,0.026324,1
1995-01-08,1995,1,winter,IN,0.050851,1
1995-01-08,1995,1,winter,KS,0.027105,1
1995-01-08,1995,1,winter,KY,0.010812,1
1995-01-08,1995,1,winter,LA,0.017891,1
1995-01-08,1995,1,winter,MA,0.0624,1
1995-01-08,1995,1,winter,MD,0.036931,1
1995-01-08,1995,1,winter,ME,0.00976,1
1995-01-08,1995,1,winter,MI,0.095448,1
1995-01-08,1995,1,winter,MN,0.037557,1
1995-01-08,1995,1,winter,MO,0.010734,1
1995-01-08,1995,1,winter,MS,0.014112,1
1995-01-08,1995,1,winter,MT,0.034892,1
1995-01-08,1995,1,winter,NC,0.02522,1
1995-01-08,1995,1,winter,ND,0.044476,1
1995-01-08,1995,1,winter,NE,0.017929,1
1995-01-08,1995,1,winter,NH,0.075498,1
1995-01-08,1995,1,winter,NJ,0.053815,1
1995-01-08,1995,1,winter,NM,0.061615,1
1995-01-08,1995,1,winter,NV,0.127651,1
1995-01-08,1995,1,winter,NY,0.082449,1
1995-01-08,1995,1,winter,OH,0.118459,1
1995-01-08,1995,1,winter,OK,0.05389,1
1995-01-08,1995,1,winter,OR,0.160749,1
1995-01-08,1995,1,winter,PA,0.059657,1
1995-01-08,1995,1,winter,RI,0.065495,1
1995-01-08,1995,1,winter,SC,0.019011,1
1995-01-08,1995,1,winter,SD,0.022263,1
1995-01-08,1995,1,winter,TN,0.013008,1
1995-01-08,1995,1,winter,TX,0.043458,1
1995-01-08,1995,1,winter,UT,0.04133,1
1995-01-08,1995,1,winter,VA,0.038649,1
1995-01-08,1995,1,winter,VT,0.010522,1
1995-01-08,1995,1,winter,WA,0.041725,1
1995-01-08,1995,1,winter,WI,0.052532,1
1995-01-08,1995,1,winter,WV,0.027184,1
1995-01-08,1995,1,winter,WY,0.135552,1
1995-01-09,1995,1,winter,AL,0.001799,1
1995-01-09,1995,1,winter,AR,0.004633,1
1995-01-09,1995,1,winter,AZ,0.004994,1
1995-01-09,1995,1,winter,CA,0.165392,1
1995-01-09,1995,1,winter,CO,0.023253,1
1995-01-09,1995,1,winter,CT,0.008571,1
1995-01-09,1995,1,winter,DE,0.002646,1
1995-01-09,1995,1,winter,FL,0.009219,1
1995-01-09,1995,1,winter,GA,0.001745,1
1995-01-09,1995,1,winter,IA,0.033226,1
1995-01-09,1995,1,winter,ID,0.117896,1
1995-01-09,1995,1,winter,IL,0.005784,1
1995-01-09,1995,1,winter,IN,0.005305,1
1995-01-09,1995,1,winter,KS,0.008219,1
1995-01-09,1995,1,winter,KY,0.00089,1
1995-01-09,1995,1,winter,LA,0.002227,1
1995-01-09,1995,1,winter,MA,0.022624,1
1995-01-09,1995,1,winter,MD,0.005556,1
1995-01-09,1995,1,winter,ME,0.008364,1
1995-01-09,1995,1,winter,MI,0.028902,1
1995-01-09,1995,1,winter,MN,0.019167,1
1995-01-09,1995,1,winter,MO,0.007552,1
1995-01-09,1995,1,winter,MS,0.002234,1
1995-01-09,1995,1,winter,MT,0.097315,1
1995-01-09,1995,1,winter,NC,0.001151,1
1995-01-09,1995,1,winter,ND,0.085056,1
1995-01-09,1995,1,winter,NE,0.021764,1
1995-01-09,1995,1,winter,NH,0.110535,1
1995-01-09,1995,1,winter,NJ,0.013735,1
1995-01-09,1995,1,winter,NM,0.068208,1
1995-01-09,1995,1,winter,NV,0.214823,1
1995-01-09,1995,1,winter,NY,0.056009,1
1995-01-09,1995,1,winter,OH,0.024778,1
1995-01-09,1995,1,winter,OK,0.012546,1
1995-01-09,1995,1,winter,OR,0.141768,1
1995-01-09,1995,1,winter,PA,0.021927,1
1995-01-09,1995,1,winter,RI,0.020905,1
1995-01-09,1995,1,winter,SC,0.001597,1
1995-01-09,1995,1,winter,SD,0.033957,1
1995-01-09,1995,1,winter,TN,0.00016,1
1995-01-09,1995,1,winter,TX,0.020066,1
1995-01-09,1995,1,winter,UT,0.070907,1
1995-01-09,1995,1,winter,VA,0.003801,1
1995-01-09,1995,1,winter,VT,0.016089,1
1995-01-09,1995,1,winter,WA,0.024766,1
1995-01-09,1995,1,winter,WI,0.004533,1
1995-01-09,1995,1,winter,WV,0.003919,1
1995-01-09,1995,1,winter,WY,0.18349,1
1995-01-10,1995,1,winter,AL,0.002804,1
1995-01-10,1995,1,winter,AR,0.030874,1
1995-01-10,1995,1,winter,AZ,0.016647,1
1995-01-10,1995,1,winter,CA,0.148839,1
1995-01-10,1995,1,winter,CO,0.023497,1
1995-01-10,1995,1,winter,CT,0.003919,1
1995-01-10,1995,1,winter,DE,0.004751,1
1995-01-10,1995,1,winter,FL,0.010602,1
1995-01-10,1995,1,winter,GA,0.002612,1
1995-01-10,1995,1,winter,IA,0.047682,1
1995-01-10,1995,1,winter,ID,0.157322,1
1995-01-10,1995,1,winter,IL,0.013985,1
1995-01-10,1995,1,winter,IN,0.023633,1
1995-01-10,1995,1,winter,KS,0.004631,1
1995-01-10,1995,1,winter,KY,0.005427,1
1995-01-10,1995,1,winter,LA,0.018246,1
1995-01-10,1995,1,winter,MA,0.021569,1
1995-01-10,1995,1,winter,MD,0.002571,1
1995-01-10,1995,1,winter,ME,0.008885,1
1995-01-10,1995,1,winter,MI,0.019176,1
1995-01-10,1995,1,winter,MN,0.062912,1
1995-01-10,1995,1,winter,MO,0.012688,1
1995-01-10,1995,1,winter,MS,0.011564,1
1995-01-10,1995,1,winter,MT,0.093764,1
1995-01-10,1995,1,winter,NC,0.008178,1
1995-01-10,1995,1,winter,ND,0.10242,1
1995-01-10,1995,1,winter,NE,0.009632,1
1995-01-10,1995,1,winter,NH,0.06398,1
1995-01-10,1995,1,winter,NJ,0.006266,1
1995-01-10,1995,1,winter,NM,0.0617,1
1995-01-10,1995,1,winter,NV,0.306848,1
1995-01-10,1995,1,winter,NY,0.010158,1
1995-01-10,1995,1,winter,OH,0.011269,1
1995-01-10,1995,1,winter,OK,0.021734,1
1995-01-10,1995,1,winter,OR,0.088889,1
1995-01-10,1995,1,winter,PA,0.002672,1
1995-01-10,1995,1,winter,RI,0.018062,1
1995-01-10,1995,1,winter,SC,0.00166,1
1995-01-10,1995,1,winter,SD,0.036079,1
1995-01-10,1995,1,winter,TN,0.01062,1
1995-01-10,1995,1,winter,TX,0.066349,1
1995-01-10,1995,1,winter,UT,0.105965,1
1995-01-10,1995,1,winter,VA,0.005111,1
1995-01-10,1995,1,winter,VT,0.001359,1
1995-01-10,1995,1,winter,WA,0.024438,1
1995-01-10,1995,1,winter,WI,0.032971,1
1995-01-10,1995,1,winter,WV,0.000525,1
1995-01-10,1995,1,winter,WY,0.196899,1
1995-01-11,1995,1,winter,AL,0.024063,1
1995-01-11,1995,1,winter,AR,0.063266,1
1995-01-11,1995,1,winter,AZ,0.017933,1
1995-01-11,1995,1,winter,CA,0.083149,1
1995-01-11,1995,1,winter,CO,0.095108,1
1995-01-11,1995,1,winter,CT,0.020913,1
1995-01-11,1995,1,winter,DE,0.003939,1
1995-01-11,1995,1,winter,FL,0.010825,1
1995-01-11,1995,1,winter,GA,0.003761,1
1995-01-11,1995,1,winter,IA,0.031809,1
1995-01-11,1995,1,winter,ID,0.069084,1
1995-01-11,1995,1,winter,IL,0.010664,1
1995-01-11,1995,1,winter,IN,0.018085,1
1995-01-11,1995,1,winter,KS,0.013551,1
1995-01-11,1995,1,winter,KY,0.043496,1
1995-01-11,1995,1,winter,LA,0.107946,1
1995-01-11,1995,1,winter,MA,0.034277,1
1995-01-11,1995,1,winter,MD,0.002514,1
1995-01-11,1995,1,winter,ME,0.016516,1
1995-01-11,1995,1,winter,MI,0.04889,1
1995-01-11,1995,1,winter,MN,0.053876,1
1995-01-11,1995,1,winter,MO,0.013609,1
1995-01-11,1995,1,winter,MS,0.055753,1
1995-01-11,1995,1,winter,MT,0.067815,1
1995-01-11,1995,1,winter,NC,0.00321,1
1995-01-11,1995,1,winter,ND,0.033471,1
1995-01-11,1995,1,winter,NE,0.010629,1
1995-01-11,1995,1,winter,NH,0.123198,1
1995-01-11,1995,1,winter,NJ,0.014662,1
1995-01-11,1995,1,winter,NM,0.142006,1
1995-01-11,1995,1,winter,NV,0.131485,1
1995-01-11,1995,1,winter,NY,0.039864,1
1995-01-11,1995,1,winter,OH,0.025179,1
1995-01-11,1995,1,winter,OK,0.031742,1
1995-01-11,1995,1,winter,OR,0.065516,1
1995-01-11,1995,1,winter,PA,0.012725,1
1995-01-11,1995,1,winter,RI,0.054139,1
1995-01-11,1995,1,winter,SC,0.002424,1
1995-01-11,1995,1,winter,SD,0.029731,1
1995-01-11,1995,1,winter,TN,0.048293,1
1995-01-11,1995,1,winter,TX,0.097186,1
1995-01-11,1995,1,winter,UT,0.053955,1
1995-01-11,1995,1,winter,VA,0.005839,1
1995-01-11,1995,1,winter,VT,0.003586,1
1995-01-11,1995,1,winter,WA,0.032164,1
1995-01-11,1995,1,winter,WI,0.040573,1
1995-01-11,1995,1,winter,WV,0.009284,1
1995-01-11,1995,1,winter,WY,0.158454,1
1995-01-12,1995,1,winter,AL,0.024577,1
1995-01-12,1995,1,winter,AR,0.104797,1
1995-01-12,1995,1,winter,AZ,0.008919,1
1995-01-12,1995,1,winter,CA,0.05663,1
1995-01-12,1995,1,winter,CO,0.029391,1
1995-01-12,1995,1,winter,CT,0.009385,1
1995-01-12,1995,1,winter,DE,0.012297,1
1995-01-12,1995,1,winter,FL,0.01366,1
1995-01-12,1995,1,winter,GA,0.005892,1
1995-01-12,1995,1,winter,IA,0.013773,1
1995-01-12,1995,1,winter,ID,0.046253,1
1995-01-12,1995,1,winter,IL,0.079144,1
1995-01-12,1995,1,winter,IN,0.092505,1
1995-01-12,1995,1,winter,KS,0.03242,1
1995-01-12,1995,1,winter,KY,0.103532,1
1995-01-12,1995,1,winter,LA,0.041775,1
1995-01-12,1995,1,winter,MA,0.030039,1
1995-01-12,1995,1,winter,MD,0.016051,1
1995-01-12,1995,1,winter,ME,0.021892,1
1995-01-12,1995,1,winter,MI,0.0237,1
1995-01-12,1995,1,winter,MN,0.004632,1
1995-01-12,1995,1,winter,MO,0.031981,1
1995-01-12,1995,1,winter,MS,0.048769,1
1995-01-12,1995,1,winter,MT,0.057356,1
1995-01-12,1995,1,winter,NC,0.007679,1
1995-01-12,1995,1,winter,ND,0.021791,1
1995-01-12,1995,1,winter,NE,0.058336,1
1995-01-12,1995,1,winter,NH,0.130975,1
1995-01-12,1995,1,winter,NJ,0.006013,1
