date,region,actual,predicted
2008-04-26,TX,0.043096,0.07256832407460866
2008-04-27,TX,0.116846,0.10910175608239267
2008-04-28,TX,0.044665,0.06793664105770118
2008-04-29,TX,0.046518,0.07967206753118042
2008-04-30,TX,0.162411,0.11397858787199809
2008-05-01,TX,0.197773,0.1097034794848711
2008-05-02,TX,0.122559,0.07350920758022803
2008-05-03,TX,0.079283,0.10645343629208405
2008-05-04,TX,0.039979,0.0463360115371197
2008-05-05,TX,0.057097,0.0750320985389642
2008-05-06,TX,0.078664,0.07850701132356677
2008-05-07,TX,0.167322,0.09431031196166365
2008-05-08,TX,0.041822,0.06105072744949554
2008-05-09,TX,0.030251,0.04833028397945651
2008-05-10,TX,0.057868,0.07819503291431644
2008-05-11,TX,0.094335,0.09956239215398847
2008-05-12,TX,0.067244,0.0766638282538615
2008-05-13,TX,0.090065,0.08920359853404326
2008-05-14,TX,0.066792,0.07196915612142997
2008-05-15,TX,0.042765,0.06396358304278739
2008-05-16,TX,0.046693,0.050464178689585255
2008-05-17,TX,0.014682,0.02770914215659867
2008-05-18,TX,0.011173,0.02708610041732812
2008-05-19,TX,0.032888,0.04110595478167823
2008-05-20,TX,0.034659,0.038155762719928404
2008-05-21,TX,0.074191,0.0784032751049498
2008-05-22,TX,0.206726,0.11889054290424789
2008-05-23,TX,0.140209,0.08836652333015076
2008-05-24,TX,0.068763,0.06872104846049777
2008-05-25,TX,0.084669,0.07712713649929219
2008-05-26,TX,0.10063,0.08559793983705952
2008-05-27,TX,0.088301,0.07402106721423285
2008-05-28,TX,0.045791,0.04750505299754945
2008-05-29,TX,0.050055,0.06437243547009111
2008-05-30,TX,0.059037,0.072518791609296
2008-05-31,TX,0.052857,0.04735073863606067
2008-06-01,TX,0.056973,0.07335383053038114
2008-06-02,TX,0.090411,0.09029479112029991
2008-06-03,TX,0.155497,0.10332449225335577
2008-06-04,TX,0.239078,0.11343219893827781
2008-06-05,TX,0.390754,0.11613412504711888
2008-06-06,TX,0.189574,0.08792382086527147
2008-06-07,TX,0.17636,0.09830836155902271
2008-06-08,TX,0.174806,0.0966853918095638
2008-06-09,TX,0.116401,0.07540269309101444
2008-06-10,TX,0.064904,0.06812013227630256
2008-06-11,TX,0.15601,0.10739158040352893
2008-06-12,TX,0.142012,0.09445052283833763
2008-06-13,TX,0.083414,0.06817743888056321
2008-06-14,TX,0.04496,0.061956933078709225
2008-06-15,TX,0.051462,0.04582070378410739
2008-06-16,TX,0.062645,0.0713765013213849
2008-06-17,TX,0.068481,0.06740215619069478
2008-06-18,TX,0.033382,0.06006012774700929
2008-06-19,TX,0.051257,0.062006434948979096
2008-06-20,TX,0.053381,0.06255626137989871
2008-06-21,TX,0.02883,0.06283299639875953
2008-06-22,TX,0.014789,0.0362964169696246
2008-06-23,TX,0.027375,0.06292743433610316
2008-06-24,TX,0.058429,0.07075278344112959
2008-06-25,TX,0.078493,0.07232408994631957
2008-06-26,TX,0.091169,0.08022970518436381
2008-06-27,TX,0.10322,0.0795668498609514
2008-06-28,TX,0.101517,0.07704381038600515
2008-06-29,TX,0.049922,0.05610401260606669
2008-06-30,TX,0.022933,0.04547880637232844
2008-07-01,TX,0.022603,0.062289465490061084
2008-07-02,TX,0.031559,0.059998218168860716
2008-07-03,TX,0.038505,0.06010393614052777
2008-07-04,TX,0.031009,0.05949293195299773
2008-07-05,TX,0.033737,0.05956550733099594
2008-07-06,TX,0.052754,0.03945727370752613
2008-07-07,TX,0.074906,0.07218380716906185
2008-07-08,TX,0.049981,0.034755647948750065
2008-07-09,TX,0.028214,0.03595088844428354
2008-07-10,TX,0.041028,0.04095437777650673
2008-07-11,TX,0.074491,0.07585261069339826
2008-07-12,TX,0.068705,0.04802286955785166
2008-07-13,TX,0.030576,0.03729844474635248
2008-07-14,TX,0.020949,0.027398681411614043
2008-07-15,TX,0.027571,0.0382186977688254
2008-07-16,TX,0.026642,0.03754662960994779
2008-07-17,TX,0.025192,0.03743114657087846
2008-07-18,TX,0.025667,0.03805614571961079
2008-07-19,TX,0.027127,0.037915902052982675
2008-07-20,TX,0.021657,0.035556033316408504
2008-07-21,TX,0.018281,0.026589280992359396
2008-07-22,TX,0.034563,0.038063678214863964
2008-07-23,TX,0.092896,0.06870395862394597
2008-07-24,TX,0.117593,0.061274210659805754
2008-07-25,TX,0.06419,0.043609346345877494
2008-07-26,TX,0.027433,0.035713474568466415
2008-07-27,TX,0.027598,0.036406240166309875
2008-07-28,TX,0.040379,0.03900256626908281
2008-07-29,TX,0.047803,0.03996913873200651
2008-07-30,TX,0.037102,0.035076678296303995
2008-07-31,TX,0.030962,0.03454431460162999
2008-08-01,TX,0.030006,0.03627917075383072
2008-08-02,TX,0.022387,0.035556033316408504
2008-08-03,TX,0.026222,0.03737607539859447
2008-08-04,TX,0.02244,0.03599340631595477
2008-08-05,TX,0.047284,0.05371976126439889
2008-08-06,TX,0.042042,0.03764678053181021
2008-08-07,TX,0.022093,0.0338506505051841
2008-08-08,TX,0.018101,0.02513272408597982
