year,season,state,capacity_factor,day_count
1995,fall,AL,0.019197813186813184,91
1995,spring,AL,0.022882315217391303,92
1995,summer,AL,0.015450152173913044,92
1995,winter,AL,0.029142155555555552,90
1995,fall,AR,0.028887186813186815,91
1995,spring,AR,0.03731516304347826,92
1995,summer,AR,0.013675097826086958,92
1995,winter,AR,0.033434288888888886,90
1995,fall,AZ,0.019140615384615388,91
1995,spring,AZ,0.04620834782608695,92
1995,summer,AZ,0.03499603260869565,92
1995,winter,AZ,0.020458044444444445,90
1995,fall,CA,0.02443495604395604,91
1995,spring,CA,0.06054080434782609,92
1995,summer,CA,0.04595309782608696,92
1995,winter,CA,0.03664067777777778,90
1995,fall,CO,0.04154296703296703,91
1995,spring,CO,0.07246303260869565,92
1995,summer,CO,0.03459706521739131,92
1995,winter,CO,0.03632762222222223,90
1995,fall,CT,0.03671798901098901,91
1995,spring,CT,0.033941152173913046,92
1995,summer,CT,0.01439136956521739,92
1995,winter,CT,0.04277597777777777,90
1995,fall,DE,0.04113934065934066,91
1995,spring,DE,0.04101972826086957,92
1995,summer,DE,0.01763608695652174,92
1995,winter,DE,0.059046844444444434,90
1995,fall,FL,0.025997021978021978,91
1995,spring,FL,0.03464239130434782,92
1995,summer,FL,0.03064484782608696,92
1995,winter,FL,0.036911533333333336,90
1995,fall,GA,0.02023952747252747,91
1995,spring,GA,0.02801971739130435,92
1995,summer,GA,0.019204532608695653,92
1995,winter,GA,0.03190856666666667,90
1995,fall,IA,0.0699226923076923,91
1995,spring,IA,0.09226209782608696,92
1995,summer,IA,0.029251119565217393,92
1995,winter,IA,0.0843639111111111,90
1995,fall,ID,0.03770773626373626,91
1995,spring,ID,0.04902448913043478,92
1995,summer,ID,0.029742434782608695,92
1995,winter,ID,0.04283668888888889,90
1995,fall,IL,0.07161302197802198,91
1995,spring,IL,0.08105820652173913,92
1995,summer,IL,0.02737064130434782,92
1995,winter,IL,0.07780338888888888,90
1995,fall,IN,0.06909303296703297,91
1995,spring,IN,0.06984919565217391,92
1995,summer,IN,0.02211021739130435,92
1995,winter,IN,0.07444494444444444,90
1995,fall,KS,0.09721227472527472,91
1995,spring,KS,0.11601657608695652,92
1995,summer,KS,0.06258022826086958,92
1995,winter,KS,0.07540267777777777,90
1995,fall,KY,0.026487054945054943,91
1995,spring,KY,0.03846359782608696,92
