date,region,capacity_factor
1995-02-23,CA,0.005191
1995-02-23,FL,0.007682
1995-02-23,MN,0.162324
1995-02-23,TX,0.043354
1995-02-24,CA,0.004855
1995-02-24,FL,0.015787
1995-02-24,MN,0.036717
1995-02-24,TX,0.063033
1995-02-25,CA,0.005285
1995-02-25,FL,0.024629
1995-02-25,MN,0.095702
1995-02-25,TX,0.048063
1995-02-26,CA,0.004919
1995-02-26,FL,0.031988
1995-02-26,MN,0.051724
1995-02-26,TX,0.089815
1995-02-27,CA,0.004594
1995-02-27,FL,0.032601
1995-02-27,MN,0.050475
1995-02-27,TX,0.045883
1995-02-28,CA,0.011408
1995-02-28,FL,0.026862
1995-02-28,MN,0.074728
1995-02-28,TX,0.101644
1995-03-01,CA,0.011923
1995-03-01,FL,0.051083
1995-03-01,MN,0.036337
1995-03-01,TX,0.089492
1995-03-02,CA,0.026035
1995-03-02,FL,0.048807
1995-03-02,MN,0.059762
1995-03-02,TX,0.051336
1995-03-03,CA,0.044563
1995-03-03,FL,0.019499
1995-03-03,MN,0.064696
1995-03-03,TX,0.04375
1995-03-04,CA,0.025693
1995-03-04,FL,0.014379
1995-03-04,MN,0.028691
1995-03-04,TX,0.047653
1995-03-05,CA,0.040324
1995-03-05,FL,0.041339
1995-03-05,MN,0.072838
1995-03-05,TX,0.046168
1995-03-06,CA,0.052553
1995-03-06,FL,0.03167
1995-03-06,MN,0.020504
1995-03-06,TX,0.091005
1995-03-07,CA,0.011462
1995-03-07,FL,0.083703
1995-03-07,MN,0.085185
1995-03-07,TX,0.327625
1995-03-08,CA,0.040716
1995-03-08,FL,0.10071
1995-03-08,MN,0.029832
1995-03-08,TX,0.127067
1995-03-09,CA,0.178682
1995-03-09,FL,0.116009
1995-03-09,MN,0.118664
1995-03-09,TX,0.050552
1995-03-10,CA,0.176148
1995-03-10,FL,0.088788
1995-03-10,MN,0.096059
1995-03-10,TX,0.071631
1995-03-11,CA,0.106553
1995-03-11,FL,0.064438
1995-03-11,MN,0.054167
1995-03-11,TX,0.11007
1995-03-12,CA,0.027611
1995-03-12,FL,0.089255
1995-03-12,MN,0.119937
1995-03-12,TX,0.178137
1995-03-13,CA,0.046361
1995-03-13,FL,0.080744
1995-03-13,MN,0.093631
1995-03-13,TX,0.116627
1995-03-14,CA,0.038252
1995-03-14,FL,0.073457
1995-03-14,MN,0.012388
1995-03-14,TX,0.080372
1995-03-15,CA,0.034205
1995-03-15,FL,0.042924
1995-03-15,MN,0.001197
1995-03-15,TX,0.059897
1995-03-16,CA,0.017195
1995-03-16,FL,0.019533
1995-03-16,MN,0.02121
1995-03-16,TX,0.030824
1995-03-17,CA,0.015233
1995-03-17,FL,0.027179
1995-03-17,MN,0.032608
1995-03-17,TX,0.016429
1995-03-18,CA,0.032894
1995-03-18,FL,0.016905
